Query,Volume,Intent,Segment,Cluster Name,Target URL,Page Type,Priority,Status
корейская косметика,180500,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
патчи для глаз,145000,Commercial,General-Category,Патчи для глаз,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
крем от морщин,98000,Commercial,Problem-Skin,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
купить коллаген,85000,Commercial,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
купить корейскую косметику,45200,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
патчи под глаза,45000,Commercial,General-Category,Патчи для глаз,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
крем от пигментных пятен,41200,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
питьевой коллаген,41000,Commercial,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
сыворотка с ретинолом,38500,Commercial,Active-Ingredient,Средства с ретинолом,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
крем для лица антивозрастной,38200,Commercial,General-Category,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
корейская косметика интернет магазин,38100,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
купить патчи для глаз,32000,Commercial,General-Category,Патчи для глаз,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
крем от акне,31000,Commercial,Problem-Skin,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,High,active
лифтинг крем для лица,29400,Commercial,General-Category,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
коллаген для кожи,29000,Commercial,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
крем вокруг глаз от морщин,28400,Commercial,Problem-Skin,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
крем с пептидами для лица,28400,Commercial,Active-Ingredient,Косметика с пептидами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
корейский крем для лица,24100,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
сыворотка от морщин,24100,Commercial,Problem-Skin,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
коллаген с витамином с,24000,Commercial,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
сыворотка от пигментации,22100,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
ретинол крем для лица,22100,Commercial,Active-Ingredient,Средства с ретинолом,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
